journal,publication_year,title,abstract,keywords,doi,claim,llm_policy_claim
Journal Of Epidemiology And Community Health,2020,Childhood socio-economic conditions and risk of cardiovascular disease: Results from a pooled sample of 14 011 adults from India,"Background South Asians are at an increased risk of premature cardiovascular disease, but the reasons for this are unclear. Poor socio-economic conditions in childhood are associated with an increased risk of cardiovascular disease in many high-income countries and may be particularly relevant to South Asia, where socio-economic deprivation is more prevalent and severe. However, evidence from South Asia is limited. Methods We pooled data from two large population-based studies in India to provide a geographically representative and adequately powered sample of Indian adults. We used multilevel linear regression models to assess associations between standard of living index (SLI) in childhood (measured by recalled household assets at age 10-12 years) and major cardiovascular risk factors including adiposity, blood pressure, and fasting blood lipids, glucose and insulin. Results Data on 14 011 adults (median age 39 years, 56% men) were analysed. SLI in childhood was inversely associated with systolic and diastolic blood pressure, independent of socio-economic conditions in adulthood, with beta coefficients (95% CIs) of -0.70 mmHg (-1.17 to -0.23) and -0.56 mmHg (-0.91 to -0.22), respectively, per SD increase in SLI in childhood. There was no strong evidence for an association between SLI in childhood and other risk factors of cardiovascular disease. Conclusions Poor socio-economic conditions in childhood may contribute to the increased risk of premature cardiovascular disease among South Asians by raising their blood pressure. Elucidating the mechanisms and improving socio-economic conditions for children in South Asia could provide major reductions in the burden of cardiovascular disease.","['CARDIOVASCULAR DISEASE', 'CHRONIC DI', 'LIFECOURSE / CHILDHOOD CIRCUMSTANCES', 'NUTRITION', 'OBESITY', 'PAEDIATRIC', 'SOCIO-ECONOMIC']",10.1136/jech-2020-214016,1,True
International Journal Of Epidemiology,2021,Changes in infection-related hospitalizations in children following pandemic restrictions: An interrupted time-series analysis of total population data,"Background: Infectious diseases are a leading cause of hospitalization during childhood. The various mitigation strategies implemented to control the coronavirus disease (COVID-19) pandemic could have additional, unintended benefits for limiting the spread of other infectious diseases and their associated burden on the health care system. Methods: We conducted an interrupted time-series analysis using population-wide hospitalization data for the state of Victoria, Australia. Infection-related hospitalizations for children and adolescents (aged <18 years, total source population ∼1.4 million) were extracted using pre-defined International Classification of Diseases 10th Revision Australian Modification (ICD-10-AM) codes. The change in weekly hospitalization rates (incidence rate ratio, IRR) for all infections following the introduction of pandemic-related restrictions from 15 March 2020 was estimated. Results: Over 2015-19, the mean annual incidence of hospitalization with infection among children less than 18 years was 37 per 1000 population. There was an estimated 65% (95% CI 62-67%) reduction in the incidence of overall infection-related hospitalizations associated with the introduction of pandemic restrictions. The reduction was most marked in younger children (at least 66% in those less than 5 years of age) and for lower respiratory tract infections (relative reduction 85%, 95% CI 85-86%). Conclusions: The wider impacts of pandemic mitigation strategies on non-COVID-19 infection-related hospitalizations are poorly understood. We observed marked and rapid decreases in hospitalized childhood infection. In tandem with broader consequences, sustainable measures, such as improved hand hygiene, could reduce the burden of severe childhood infection post-pandemic and the social and economic costs of hospitalization.","['COVID-19', 'Hospitalization', 'Infectious disease', 'Paediatric epidemiology', 'Restrictions']",10.1093/ije/dyab101,1,True
American Journal Of Public Health,2021,"Wage-Setting Policies, Employment, and Food Insecurity: A Multilevel Analysis of 492 078 People in 139 Countries","Objectives. To examine the association between wage-setting policy and food insecurity. Methods. We estimated multilevel regression models, using data from the Gallup World Poll (2014-2017) and UCLA's World Policy Analysis Center, to examine the association between wage setting policy and food insecurity across 139 countries (n = 492 078). Results. Compared with countries with little or no minimum wage, the probability of being food insecure was 0.10 lower (95% confidence interval = 0.02, 0.18) in countries with collective bargaining. However, these associations varied across employment status. More generous wage-setting policies (e.g., collective bargaining or high minimum wages) were associated with lower food insecurity among full-time workers (and, to some extent, part-time workers) but not those who were unemployed. Conclusions. In countries with generous wage-setting policies, employed adults had a lower risk of food insecurity, but the risk of food insecurity for the unemployed was unchanged. Wage-setting policies may be an important intervention for addressing risks of food insecurity among low-income workers.",[],10.2105/AJPH.2020.306096,1,True
European Journal Of Public Health,2023,The vulnerability to COVID-19 of migrants in large urban areas: Structural exacerbators and community-level mitigators,"Background: Despite research on large urban areas in the context of COVID-19, evidence on how these settings impact migrants is still limited. Objective: To explore exacerbating and mitigating factors of large urban areas on migrants' vulnerabilities during the COVID-19 pandemic. Methods: We conducted a systematic review of peer-reviewed studies published between 2020 and 2022, focused on migrants (foreign-born individuals who have not been naturalized in the host country, regardless of legal immigration status) in urban areas with a population >500aŠ000. After screening 880 studies, 29 studies were included and categorized within the following thematic framework: (i) pre-existing inequities, (ii) governance strategies, (iii) urban design and (iv) engagement of civil society organizations (CSOs). Results: Exacerbating factors include pre-existing inequities (e.g. unemployment, financial instability and barriers to healthcare access), exclusionary government responses (e.g. ineligibility for relief funds or unemployment benefits) and residential segregation. Mitigating community-level factors include the engagement of CSOs to fill institutional and governmental gaps through service provision and use of technology. Conclusions: We recommend increased attention to pre-existing structural inequities faced by migrants, more inclusive governance strategies and partnerships between government and CSOs to improve the design and delivery of services to migrants in large urban areas. More research is needed on how urban design can be utilized to mitigate COVID-19 impacts on migrant communities. The factors identified in this systematic review should be considered as part of migrant-inclusive emergency preparedness strategies to address the disproportionate impact of health crises on migrant communities.",[],10.1093/eurpub/ckad076,1,True
American Journal Of Preventive Medicine,2021,Marijuana Use Among Women of Reproductive Age With Disabilities,"Introduction: Despite the increasing prevalence and potential adverse health outcomes associated with marijuana use, limited research exists related to its use in women of reproductive age with disabilities. The purpose of this study is to examine the past-month marijuana use in women of reproductive age with disabilities. Methods: Data from the 2015–2019 National Survey on Drug Use and Health included 76,765 women of reproductive age (18–44 years). Descriptive statistics and adjusted logistic regression analyses were conducted to assess the associations between past-month marijuana use and overall disability, including the type of disability. Results: In this sample, 12.6% of women reported past-month marijuana use. Approximately, 21% of women with disabilities reported past-month marijuana use, compared with only 11.1% of women without a disability. Marijuana use was more prevalent in women with disabilities who were younger (aged ≤25 years), who were non-Hispanic White, who were nonmarried, who had at least some college education, and who used alcohol or tobacco. Women with disabilities had 1.68 (95% CI=1.57, 1.80) higher odds of reporting past-month marijuana use than those with no disabilities. The odds of past-month marijuana use were higher among those with cognitive (AOR=1.78, 95% CI=1.64, 1.94), sensory (AOR=1.30, 95% CI=1.12, 1.51), and daily activities–related (AOR=1.64, 95% CI=1.49, 1.80) disabilities than among their counterparts without disabilities. Conclusions: This study found an increased prevalence of past-month marijuana use among women of reproductive age with disabilities. Enhanced screening and counseling using evidence-based practices during routine care for women with disabilities may be necessary to mitigate marijuana use.",[],10.1016/j.amepre.2021.04.008,1,True
American Journal Of Public Health,2024,"Characterizing the Burden of Occupational Chemical Exposures by Sociodemographic Groups in the United States, 2021","Objectives. To estimate the number and prevalence of workers in the United States exposed to chemical hazards available in the Canadian job-exposure matrix (CANJEM) database and examine exposure disparities across sociodemographic groups. Methods. We merged US worker demographic data from the Current Population Survey with CANJEM to characterize the burden and sociodemographic distribution of 244 chemical exposures in the United States in 2021. An interactive version of the full data set is available online (https://deohs.washington.edu/us-exposure-burden). Results. Of the chemical exposures examined, the most prevalent were cleaning and antimicrobial agents (14.7% of workforce estimated exposed), engine emissions (12.8%), organic solvents (12.1%), polycyclic aromatic hydrocarbons (10.1%), and diesel engine emissions (8.3%). Racial and ethnic minoritized groups, persons with lower educational attainment, foreign-born noncitizens, and males were generally overrepresented in exposure to work-related chemical hazards. Conclusions. In the United States, marginalized sociodemographic groups are estimated to experience an inequitable burden to many chemical exposures because of occupational segregation. Data from this analysis can inform occupational and public health research, policy, and interventions aimed at reducing the burden of disease and health inequities in the United States. (Am J Public Health. 2024;114(1):57–67. https://doi.org/10.2105/AJPH.2023.307461)",[],10.2105/AJPH.2023.307461,1,True
European Journal Of Public Health,2024,"Impact of the COVID-19 pandemic on electronic referrals to rapid access clinics for suspected breast, lung and prostate cancers in Ireland","Background: The coronavirus disease 2019 (COVID-19) pandemic impacted cancer services worldwide. We examined the effect of the first three pandemic waves on the number of electronic (e)-referrals to rapid access clinics (RACs) for breast, lung and prostate cancer in Ireland. Methods: This study used a retrospective, repeated cross-sectional design. The predicted weekly number of e-referrals by suspected cancer types from March 2020 to May 2021 was calculated using the Holt-Winters seasonal smoothing method, based on the observed numbers from a representative pre-pandemic period (01 January 2019 to 01 March 2020) and compared this with the observed number across the first three pandemic waves (02 March 2020 to 09 May 2021). Percentage differences were calculated between observed and predicted numbers of e-referrals for the three RACs and patterns were examined in each wave. Results: Observed e-referrals were lower than predicted for all three RACs in the first wave of the pandemic (15.7% lower for breast, 39.5% lower for lung and 28.1% lower for prostate) with varying levels of recovery in the second and third waves for the three e-referral types. Conclusions: The COVID-19 pandemic impacted patterns of e-referrals to RACs in the first three pandemic waves in Ireland. Early identification of changes in engagement with health services, such as a decrease in primary care presentations with a resultant decrease in e-referrals to RACs can allow for a rapid response from cancer control programmes. Continued surveillance of the impact of service disruption on cancer services allows policy makers and strategic leaders in cancer control programmes to respond rapidly to mitigate the impact on cancer outcomes.",[],10.1093/eurpub/ckae092,1,True
European Journal Of Public Health,2024,"Preferences for innovations in healthcare delivery models in the Swiss elderly population: a latent class, choice modelling study","Background: With the increasing number of people affected by multiple chronic conditions, it is essential for public-health professionals to promote strategies addressing patient needs for coordinated care. We aim to explore preference heterogeneity for better-coordinated care delivery models in Swiss older adults, and identify profiles of individuals more open to healthcare reforms. Methods: A DCE (discrete choice experiment) survey was developed online and on paper for the Swiss adults aged 50+, following best practice. To elicit preferences, we estimated a latent class model allowing grouping individuals with similar preferences into distinct classes, and examined what background characteristics contributed to specific class membership. Results: The optimal model identified three classes with different openness to reforms. Class 1 (49%) members were concerned with premium increases and were in favour of integrated care structures with care managed by interprofessional teams. Individuals in class 2 (19%) were younger, open to reforms, and expressed the needs for radical changes within the Swiss healthcare system. Class 3 respondents (32%) were strongly reluctant to changes. Conclusions: Our study goes beyond average preferences and identifies three distinct population profiles, a majority open to reforms on specific aspects of care delivery, a smallest group in favour radical changes, and a third strongly against changes. Therefore, tailored approaches around healthcare reforms are needed, e.g. explaining the role of interprofessional teams in coordinating care, electronic health records and insurance premium variation.",[],10.1093/eurpub/ckae004,1,True
Journal Of Epidemiology And Community Health,2020,Changing levels of local crime and mental health: A natural experiment using self-reported and service use data in Scotland,"Background This study contributes robust evidence on the association between mental health and local crime rates by showing how changing exposure to small area-level crime relates to self-reported and administrative data on mental health. Methods The study sample comprised 112 251 adults aged 16-60 years, drawn from the Scottish Longitudinal Study, a 5.3% representative sample of Scottish population followed across censuses. Outcomes were individual mental health indicators: self-reported mental illness from the 2011 Census and linked administrative data on antidepressants and antipsychotics prescribed through primary care providers in the National Health Service in 2010/2012. Crime rates at data zone level (500-1000 persons) were matched to the participants' main place of residence, as defined by general practitioner patient registration duration during 2004/2006, 2007/2009 and 2010/12. Average neighbourhood crime exposure and change in area crime were computed. Covariate-adjusted logistic regressions were conducted, stratified by moving status. Results In addition to average crime exposure during follow-up, recent increases in crime (2007/2009-2010/2012) were associated with a higher risk of self-reported mental illness, among a € stayers' aged 16-30 years (OR=1.11; 95% CI 1.00 to 1.22), and among a € movers' aged 31-45 years (OR=1.07; 95% CI 1.01 to 1.13). Prescribed medications reinforced these findings; worsening crime rates were linked with antidepressant prescriptions among young stayers (OR=1.09; 95% CI 1.04 to 1.14) and with antipsychotic prescriptions among younger middle-aged movers (OR=1.11; 95% CI 1.01 to 1.23). Conclusion Changing neighbourhood crime exposure is related to individual mental health, but associations differ by psychiatric conditions, age and moving status. Crime reduction and prevention, especially in communities with rising crime rates, may benefit public mental health.","['ANTIDEPRESSANTS', 'ANTIPSYCHOTICS', 'CRIME', 'MENTAL HEALTH', 'NATURAL EXPERIMENT', 'NEIGHBOURHOOD']",10.1136/jech-2020-213837,1,True
The Lancet Public Health,2024,"Age-specific and cause-specific mortality contributions to the socioeconomic gap in life expectancy in Germany, 2003–21: an ecological study","Background: Earlier death among people in socioeconomically deprived circumstances has been found internationally and for various causes of death, resulting in a considerable life-expectancy gap between socioeconomic groups. We examined how age-specific and cause-specific mortality contributions to the socioeconomic gap in life expectancy have changed at the area level in Germany over time. Methods: In this ecological study, official German population and cause-of-death statistics provided by the Federal Statistical Office of Germany for the period Jan 1, 2003, to Dec 31, 2021, were linked to district-level data of the German Index of Socioeconomic Deprivation. Life-table and decomposition methods were applied to calculate life expectancy by area-level deprivation quintile and decompose the life-expectancy gap between the most and least deprived quintiles into age-specific and cause-specific mortality contributions. Findings: Over the study period, population numbers varied between 80 million and 83 million people per year, with the number of deaths ranging from 818 000 to 1 024 000, covering the entire German population. Between Jan 1, 2003, and Dec 31, 2019, the gap in life expectancy between the most and least deprived quintiles of districts increased by 0·7 years among females (from 1·1 to 1·8 years) and by 0·1 years among males (from 3·0 to 3·1 years). Thereafter, during the COVID-19 pandemic, the gap increased more rapidly to 2·2 years in females and 3·5 years in males in 2021. Between 2003 and 2021, the causes of death that contributed the most to the life-expectancy gap were cardiovascular diseases and cancer, with declining contributions of cardiovascular disease deaths among those aged 70 years and older and increasing contributions of cancer deaths among those aged 40–74 years over this period. COVID-19 mortality among individuals aged 45 years and older was the strongest contributor to the increase in life-expectancy gap after 2019. Interpretation: To reduce the socioeconomic gap in life expectancy, effective efforts are needed to prevent early deaths from cardiovascular disease and cancer in socioeconomically deprived populations, with cancer prevention and control becoming an increasingly important field of action in this respect. Funding: German Cancer Aid and European Research Council.",[],10.1016/S2468-2667(24)00049-5,1,True
Preventive Medicine,2022,The contribution of potentially modifiable risk factors to acute ischemic stroke burden - Comparing young and older adults,"Stroke is a leading cause of death and disability. In order to estimate the contribution of five modifiable risk factors to acute ischemic stroke (AIS) incidence in Israel, we conducted a case-control study based on first AIS cases aged 21–90 reported to the Israeli National Stroke Registry during 2014–2015, and controls from a national health survey conducted between 2013 and 2015. We calculated the population attributable risk (PAR) of each risk factor and the combined PAR for all risk factors (hypertension, diabetes, current smoking, obesity and hyperlipidemia), in all study population and by subgroups of young adults (age < 55) and older adults (age ≥ 55). The final analysis included 571, 577 and 500 matched pairs for all study population, young adults and older adults, respectively. Among young adults, current smoking and hypertension were the two most contributing risk factors for AIS, accounting for 33.6% (95% CI 27.3–39.9) and 28.9% (95% CI 22.1–35.7) of AIS cases, respectively. Among older adults, hypertension was the single most contributing risk factor for AIS and diabetes was the second most contributing risk factor for AIS, accounting for 64.9% (95% CI 57.3–72.5) and 25.7% (95% CI 17.5–33.9) of AIS cases, respectively. The combined PAR was significantly lower among young adults (PAR = 67.9%), compared with older adults (PAR = 80.7%). The combined PAR for all study population was 80.1% (95% CI 74.0–86.2), indicating that five common and modifiable risk factors explain ~80% of AIS incidence in Israel. Primary prevention strategies targeting these risk factors have the potential to drastically reduce stroke related morbidity and mortality.","['Case-control study', 'Ischemic stroke', 'Population attributable risk (PAR)', 'Risk factors', 'Young adults']",10.1016/j.ypmed.2021.106933,1,True
American Journal Of Preventive Medicine,2022,"State Paid Sick Leave and Paid Sick-Leave Preemption Laws Across 50 U.S. States, 2009–2020","Introduction: Paid sick leave is associated with lower mortality risks and increased use of health services. Yet, the U.S. lacks a national law, and not all employers offer paid leave, especially to low-wage workers. States have enacted paid sick-leave laws or preemption laws that prohibit local governments from enacting paid sick-leave requirements. Methods: In 2019 and 2021, state paid sick-leave laws and preemption laws in effect in 2009–2020 were retrieved from Lexis+, coded, and analyzed for coverage and other features. Data from the U.S. Bureau of Economic Analysis were used to estimate the jobs covered by state paid sick-leave laws in 2009–2019. Results: In 2009, no state had a paid sick-leave law, and 1 state had preemption. By 2020, a total of 12 states had paid sick-leave laws, with a form of preemption (n=9) or no preemption (n=3), and 18 additional states solely preempted local laws without requiring coverage, creating a regulatory vacuum in those states. Although all state paid sick-leave laws covered private employers and required care for children and spouses, some laws exempted small or public employers or did not cover additional family members. The percentage of U.S. jobs covered by state-required paid sick leave grew from 0% in 2009 to 27.6% in 2019. Conclusions: Variation in state paid sick-leave laws, preemption, and lack of employer provision of paid sick leave to low-wage workers creates substantial inequities nationally. The federal government should enact a national paid sick-leave law.",[],10.1016/j.amepre.2021.11.018,1,True
Preventive Medicine,2023,"Global inequalities in mental health problems: understanding the predictors of lifetime prevalence, treatment utilisation and perceived helpfulness across 111 countries","Socio-economic inequalities in mental health problems are found in measures covering prevalence, treatment utilisation, and treatment helpfulness. However, whether these inequalities exist globally and what factors explain between-country variation is unclear. We use a nationally representative individual-level survey dataset (Wellcome Global Monitor, 2020) in 111 countries (N = 117,088) to test if socio-economic factors (household income, education), psycho-social factors (stigma perception, trust in health professionals) and country-level factors (GDP, Gini, health expenditure) predict (1) self-reported lifetime prevalence of anxiety and depression symptomology, (2) treatment utilisation and (3) perceived treatment helpfulness talking to a mental health professional and taking prescribed medication. Multi-level logistic regression models were used. Across both HICs and LMICs, being in the richest income quintile within each country is associated with a lower probability of experiencing symptoms of anxiety and depression compared to the poorest quintile (OR = 0.67 CI[0.64–0.70]), as well as a higher probability of talking to a mental health professional (OR = 1.25[1.14–1.36]), and of perceiving this treatment as very helpful (OR = 1.23[1.07–1.40]). However, being among the richest income quintile is not associated with taking prescribed medication (OR = 0.97[0.89–1.06]) and its perceived helpfulness (OR = 1.06[0.94–1.21]) across all countries. Trust in health practitioners is associated with higher mental health professional utilisation (OR = 1.10[1.06–1.14]) and helpfulness (OR = 1.32[1.25–1.40]). This analysis reveals a global ‘triple inequality in mental health’, whereby disadvantages of lower SES individuals persist in three outcomes (lifetime prevalence, treatment utilisation and helpfulness). Treatment utilisation and helpfulness also vary by trust in healthcare professionals and treatment type. Policymakers must address all three inequalities and their fundamental causes.","['Common mental disorders', 'Depression', 'Global mental health', 'Health inequalities', 'Help-seeking mental healthcare', 'Mental health stigma', 'Social determinants of health']",10.1016/j.ypmed.2023.107769,1,True
The Lancet Public Health,2020,"The effect of frailty on survival in patients with COVID-19 (COPE): a multicentre, European, observational cohort study","Background: The COVID-19 pandemic has placed unprecedented strain on health-care systems. Frailty is being used in clinical decision making for patients with COVID-19, yet the prevalence and effect of frailty in people with COVID-19 is not known. In the COVID-19 in Older PEople (COPE) study we aimed to establish the prevalence of frailty in patients with COVID-19 who were admitted to hospital and investigate its association with mortality and duration of hospital stay. Methods: This was an observational cohort study conducted at ten hospitals in the UK and one in Italy. All adults (≥18 years) admitted to participating hospitals with COVID-19 were included. Patients with incomplete hospital records were excluded. The study analysed routinely generated hospital data for patients with COVID-19. Frailty was assessed by specialist COVID-19 teams using the clinical frailty scale (CFS) and patients were grouped according to their score (1–2=fit; 3–4=vulnerable, but not frail; 5–6=initial signs of frailty but with some degree of independence; and 7–9=severe or very severe frailty). The primary outcome was in-hospital mortality (time from hospital admission to mortality and day-7 mortality). Findings: Between Feb 27, and April 28, 2020, we enrolled 1564 patients with COVID-19. The median age was 74 years (IQR 61–83); 903 (57·7%) were men and 661 (42·3%) were women; 425 (27·2%) had died at data cutoff (April 28, 2020). 772 (49·4%) were classed as frail (CFS 5–8) and 27 (1·7%) were classed as terminally ill (CFS 9). Compared with CFS 1–2, the adjusted hazard ratios for time from hospital admission to death were 1·55 (95% CI 1·00–2·41) for CFS 3–4, 1·83 (1·15–2·91) for CFS 5–6, and 2·39 (1·50–3·81) for CFS 7–9, and adjusted odds ratios for day-7 mortality were 1·22 (95% CI 0·63–2·38) for CFS 3–4, 1·62 (0·81–3·26) for CFS 5–6, and 3·12 (1·56–6·24) for CFS 7–9. Interpretation: In a large population of patients admitted to hospital with COVID-19, disease outcomes were better predicted by frailty than either age or comorbidity. Our results support the use of CFS to inform decision making about medical care in adult patients admitted to hospital with COVID-19. Funding: None.",[],10.1016/S2468-2667(20)30146-8,1,True
European Journal Of Public Health,2023,Association between language barrier and inadequate prenatal care utilization among migrant women in the PreCARE prospective cohort study,"Background: Inadequate prenatal care utilization (PCU) is involved in the higher risk of adverse maternal outcomes among migrant vs. native women. Language barrier may be a risk factor for inadequate PCU. We aimed to assess the association between this barrier and inadequate PCU among migrant women. Methods: This analysis took place in the French multicentre prospective PreCARE cohort study, conducted in four university hospital maternity units in the northern Paris area. It included 10 419 women giving birth between 2010 and 2012. Migrants' language barrier to communication in French were categorized into three groups: migrants with no, partial or total language barrier. Inadequate PCU was assessed by the date prenatal care began, the proportion of recommended prenatal visits completed and ultrasound scans performed. The associations between these language barrier categories and inadequate PCU were tested with multivariable logistic regression models. Results: Among the 4803 migrant women included, the language barrier was partial for 785 (16.3%) and total for 181 (3.8%). Compared to migrants with no language barrier, those with partial [risk ratio (RR) 1.23, 95% confidence interval (CI) 1.13-1.33] and total (RR 1.28, 95% CI 1.10-1.50) language barrier were at higher risk of inadequate PCU. Adjustment for maternal age, parity and region of birth did not modify these associations, which were noted particularly among socially deprived women. Conclusion: Migrant women with language barrier have a higher risk of inadequate PCU than those without. These findings underscore the importance of targeted efforts to bring women with language barrier to prenatal care.",[],10.1093/eurpub/ckad078,1,True
Preventive Medicine,2022,Implementation research to accelerate scale-up of national screen and treat strategies towards the elimination of cervical cancer,"Background: Cervical cancer is a significant public health problem, with 570,000 new cases and 300,000 deaths of women per year globally, mostly in low- and middle-income countries. In 2018 the WHO Director General made a call to action for the elimination of cervical cancer as a public health problem. Main body: New thinking on programmatic approaches to introduce emerging technologies and screening and treatment interventions of cervical precancer at scale is needed to achieve elimination goals. Implementation research (IR) is an important yet underused tool for facilitating scale-up of evidence-based screening and treatment interventions, as most research has focused on developing and evaluating new interventions. It is time for countries to define their specific IR needs to understand acceptability, feasibility, and cost-effectiveness of interventions as to design and ensure effective implementation, scale-up, and sustainability of evidence-based screening and treatment interventions. WHO convened an expert advisory group to identify priority IR questions for HPV-based screening and treatment interventions in population-based programmes. Several international organizations are supporting large scale introduction of screen-and-treat approaches in many countries, providing ideal platforms to evaluate different approaches and strategies in diverse national contexts. Conclusion: For reducing cervical cancer incidence and mortality, the readiness of health systems, the reach and effectiveness of new technologies and algorithms for increasing screening and treatment coverage, and the factors that support sustainability of these programmes need to be better understood. Answering these key IR questions could provide actionable guidance for countries seeking to implement the WHO Global Strategy towards cervical cancer elimination.",[],10.1016/j.ypmed.2021.106906,1,True
American Journal Of Preventive Medicine,2022,"Childhood Neighborhood Disadvantage, Parenting, and Adult Health","Introduction: Growing up in disadvantaged neighborhoods is associated with poor adult health indicators. Consistent and supportive parenting plays a key role in life-long health, but it is not known whether positive parenting can mitigate the relationship between neighborhood adversity and poor health. This study examines parenting as a moderator of the links between childhood neighborhood characteristics and adult health indicators. Methods: A sample of 305 individuals (61% female; 82% African American, 18% Caucasian) were assessed in childhood (T1; age 11 years; 2003‒2004) and adulthood (T2; age 27 years; 2018‒2021). At T1, neighborhood poverty was derived from census data; neighborhood disorder was reported by parents. Children reported on parental harsh discipline, inconsistent discipline, and parental nurturance. At T2, health outcomes included BMI, serum cortisol and C-reactive protein (CRP), and salivary DNA methylation index related to CRP. Regression models predicted T2 health outcomes from T1 neighborhood and parenting variables and their interactions, adjusting for clustering and confounders. Data were analyzed in 2021. Results: Neighborhood poverty was associated with lower cortisol, whereas neighborhood disorder was linked with CRP‒related DNA methylation. Multiple interactions between neighborhood and parenting variables emerged, indicating that adverse neighborhood conditions were only related to poor adult health when combined with inconsistent discipline and low parental nurturance. By contrast, warm and supportive parenting, consistent discipline, and to a lesser extent harsh discipline buffered children from poor health outcomes associated with neighborhood disadvantage. Conclusions: Interventions enhancing consistent and nurturing parenting may help to reduce the long-term associations of neighborhood disadvantage with poor health.",[],10.1016/j.amepre.2022.01.028,1,True
European Journal Of Public Health,2020,The geriatric workforce in Romania: The need to improve data and management,"Facing severe under-funding and significant workforce maldistribution, the health system in Romania is challenged to provide adequate care for the ageing population. The aim of this article is to connect health labour market data of the geriatrics workforce in Romania with individual perceptions of front-line workers in geriatrics in order to better understand the ‘human’ factors of effective health workforce development. Comprehensive health workforce data are not available; we therefore used a rapid scoping review and interviews to combine quantitative and qualitative data sources, such as the ‘Healthcare Facility Activity Report’, policy documents and available reports. They show that despite a consistent increase in the overall number of geriatricians, their majority is based in Bucharest, the capital city. The initial review points to possible geriatrician burnout, caused in part by high workload. The geriatrics workforce in Romania is poorly developed. Significant efforts are still needed to create policies addressing inflows and outflows, training, maldistribution and inefficiencies related to their practice. Addressing burnout by improving teamwork and collaboration is vital for maintaining and improving the workforce morale and motivation. Two major policy recommendations emerged: an urgent need for better health workforce data in Romania and development of more effective workforce management.",[],10.1093/eurpub/ckaa127,1,True
European Journal Of Public Health,2020,Patterns of long-term conditions in older age and subsequent mortality: A national study of inequalities in health,"Background: Multiple long-term health conditions in older people are associated with increased mortality. The study aims to identify patterns of long-term health in a national ageing population using a census-based self-reported indicator of long-term health conditions. We assessed associations with subsequent mortality and socio-economic and demographic risk factors. Methods: Using linked administrative data from the Northern Ireland Mortality Study, we assessed the presence of latent classes of morbidity in self-reported data on 11 long-term health conditions in a population aged 65 or more (N = 244 349). These classes were associated with demographic and socio-economic predictors using multi-nomial logistic regression. In a 3.75-year follow-up, all-cause and cause-specific mortality were regressed on morbidity patterns. Results: Four latent classes of long-term ill-health conditions were derived, and labelled: 'low impairment'; 'pain/mobility'; 'cognitive/mental'; 'sensory impairment'. Groupings reflecting higher levels of long-term ill-health were associated with class-specific increases in all-cause and cause-specific mortality. Strongest effects were found for the 'cognitive/mental' group, which predicted all-cause mortality [hazard ratio (HR) = 2.96: 95% confidence interval (CI) = 2.83, 3.10) as well as some cause-specific mortality (i.e. dementia-related death: HR = 10.78: 95% CI = 9.39, 12.15). Class membership was predicted by a range of socio-demographic factors. Lower socio-economic status was associated with poorer health. Conclusion: Results indicate that long-term ill-health clusters in specific patterns, which are both predicted by socio-demographic factors and are themselves predictive of mortality in the elderly. The syndromic nature of long-term ill-health and functioning in ageing populations has implications for healthcare planning and public health policy in older populations.",[],10.1093/eurpub/ckz194,1,True
Preventive Medicine,2020,"Impact of a vaccine intervention on county-level rates of acute hepatitis B in West Virginia, 2011–2018","The rate of acute hepatitis B in West Virginia (WV) has been increasing since 2006. To reduce new infections, WV implemented a vaccine intervention (WV Pilot Project), which provided over 10,000 doses of hepatitis B vaccine to at-risk adults in 18 counties. The objectives of this study were to describe yearly changes in acute hepatitis B incidence and assess county-level impact of the WV Pilot Project using geospatial methods. County rates of acute hepatitis B and vaccine doses per 100,000 population were visualized biannually from 2011 to 2018. Local indicators of spatial autocorrelation were used to detect county-level clustering. Significant differences in the median rate of acute hepatitis B pre and post intervention in counties receiving vaccine were evaluated using Wilcoxon signed-rank test and bootstrapping. A Bland-Altman graph visualized significant differences in county-level rates of acute hepatitis B before and after the WV Pilot Project compared to the statewide estimate. Analyses identified significant geographic clustering of acute hepatitis B in southern WV across all four time-periods. Nine of the 18 (50%) counties receiving vaccine had significant declines in acute hepatitis B incidence compared to the statewide mean difference estimate. Findings suggest that increased dissemination of hepatitis B vaccine through local health departments and existing harm reduction services can reduce the incidence of acute hepatitis B in states such as WV, which have been disproportionately affected by substance misuse.","['Cluster analysis', 'Hepatitis B', 'Hepatitis B vaccine', 'Vaccine intervention']",10.1016/j.ypmed.2020.106121,1,True
